target_id	length	eff_length	est_counts	tpm
ENST00000479361.1	1208	1003.43	102.03	5.66785
ENST00000433179.3	3340	3135.43	103.17	1.83414
ENST00000606034.1	2086	1881.43	171	5.06623
ENST00000428771.6	1040	835.429	8492.27	566.618
ENST00000304952.10	899	694.429	1220.98	98.0069
ENST00000481869.1	1038	833.429	2070.66	138.49
ENST00000484667.2	667	462.429	589.087	71.0086
ENST00000624697.3	788	583.429	25.2552	2.4129
ENST00000624652.1	657	452.429	0	0
ENST00000458555.1	471	266.947	5	1.04405
ENST00000379389.4	711	506.429	1276.74	140.528
ENST00000379370.6	7323	7118.43	17286.7	135.364
ENST00000620552.4	7394	7189.43	256.827	1.99124
ENST00000477585.1	707	502.429	0	0
ENST00000469403.1	899	694.429	0	0
ENST00000479707.1	584	379.55	88.9531	13.0638
ENST00000466223.1	459	255.024	47.6	10.404
ENST00000478677.1	276	87.2659	7.43602	4.74976
ENST00000492947.1	690	485.429	27.4821	3.15574
ENST00000419249.1	813	608.429	16.3616	1.49897
ENST00000461111.1	3385	3180.43	483.844	8.48
ENST00000418300.1	402	198.764	0	0
ENST00000442292.2	829	624.429	352	31.4221
ENST00000453464.2	1902	1697.43	54	1.77328
ENST00000379339.5	2429	2224.43	33.4878	0.83916
ENST00000465822.5	1933	1728.43	14.3614	0.463151
ENST00000379325.7	2010	1805.43	30.8007	0.950948
ENST00000421241.6	1841	1636.43	204.07	6.95117
ENST00000487177.5	3315	3110.43	47.6848	0.854548
ENST00000467751.5	2099	1894.43	0	0
ENST00000477196.5	3214	3009.43	14.8969	0.275923
ENST00000464905.1	650	445.429	5.51774	0.690493
ENST00000379320.5	2324	2119.43	0	0
ENST00000379319.5	1097	892.429	0	0
ENST00000434641.5	842	637.429	0	0
ENST00000482816.5	982	777.429	0	0
ENST00000462097.5	836	631.429	0	0
ENST00000473600.1	793	588.429	3.24155	0.307068
ENST00000475119.5	740	535.429	2.24631	0.233854
ENST00000442117.5	554	349.586	2.60268	0.414996
ENST00000427787.5	575	370.55	0	0
ENST00000472741.5	661	456.429	0	0
ENST00000480643.1	579	374.55	3.09018	0.459887
ENST00000416774.1	1620	1415.43	0	0
ENST00000384997.2	111	19.8686	14	39.277
ENST00000384875.2	111	19.8686	12	33.666
ENST00000362106.1	83	17.1897	15	48.6408
ENST00000606993.1	987	782.429	97	6.9104
ENST00000379317.1	3532	3327.43	4.00498	0.0670915
ENST00000506177.1	557	352.586	0	0
ENST00000379290.5	2283	2078.43	3.62026e-007	9.70915e-009
ENST00000379289.5	2259	2054.43	1	0.0271322
ENST00000379288.3	2114	1909.43	0	0
ENST00000460998.1	718	513.429	0	0
ENST00000514695.1	219	52.4586	0	0
ENST00000486379.1	426	222.282	0	0
ENST00000328596.10	851	646.429	0	0
ENST00000379268.6	1179	974.429	27.803	1.59044
ENST00000486728.5	727	522.429	4.19701	0.447805
ENST00000379265.5	705	500.429	0	0
ENST00000379236.3	1068	863.429	273.722	17.6709
ENST00000497869.5	1707	1502.43	55.2778	2.05085
ENST00000453580.1	393	190.056	0	0
ENST00000360001.10	1956	1751.43	4051.05	128.929
ENST00000263741.11	2079	1874.43	617.72	18.3696
ENST00000465727.5	2095	1890.43	0	0
ENST00000494748.1	3516	3311.43	58.1921	0.979546
ENST00000478938.1	2591	2386.43	82.7386	1.93257
ENST00000403997.2	728	523.429	10.3035	1.09724
ENST00000459994.2	604	399.473	0	0
ENST00000379198.3	2777	2572.43	685	14.8431
ENST00000462849.1	682	477.429	3.01529	0.352044
ENST00000478606.1	522	317.619	2	0.350994
ENST00000330388.2	1036	831.429	23.247	1.55854
ENST00000468365.1	647	442.473	26.9375	3.39348
ENST00000486627.1	639	434.473	4.80026	0.615855
ENST00000565563.1	1558	1353.43	7	0.288296
ENST00000450390.6	2455	2250.43	68.5729	1.69849
ENST00000347370.6	2387	2182.43	211.895	5.41199
ENST00000349431.10	1733	1528.43	662.041	24.1444
ENST00000400929.6	1057	852.429	234.984	15.3658
ENST00000464036.5	1256	1051.43	115.949	6.147
ENST00000360466.6	1047	842.429	13.5344	0.895531
ENST00000400930.8	1021	816.429	6.87756	0.469561
ENST00000467339.1	515	310.808	18.1488	3.25485
ENST00000473215.5	1028	823.429	0	0
ENST00000435198.5	1056	851.429	61.3031	4.01338
ENST00000509720.5	472	267.92	0	0
ENST00000491779.5	611	406.473	7.10746	0.974672
ENST00000466752.5	886	681.429	0	0
ENST00000503294.5	814	609.429	0	0
ENST00000477894.5	767	562.429	13.3016	1.3183
ENST00000471154.1	336	136.582	0	0
ENST00000422076.5	643	438.473	6.07281	0.77201
ENST00000502382.1	530	325.619	2.51883	0.431188
ENST00000461142.3	837	632.429	3.49216	0.307793
ENST00000488418.2	750	545.429	32.2019	3.29094
ENST00000434139.1	268	81.5435	1	0.683576
ENST00000453732.1	389	186.113	2	0.599004
ENST00000379116.9	3044	2839.43	0.00311721	6.11945e-005
ENST00000379101.8	2268	2063.43	5.87381	0.158674
ENST00000338555.6	3475	3270.43	8.79146	0.149842
ENST00000616713.4	2871	2666.43	0	0
ENST00000400928.7	2731	2526.43	21.1958	0.467648
ENST00000470022.1	645	440.473	0	0
ENST00000325425.12	2679	2474.43	15.1358	0.340963
ENST00000467651.2	204	45.9821	0	0
ENST00000379099.3	923	718.429	0	0
ENST00000354700.9	3896	3691.43	244.726	3.69541
ENST00000492936.5	5319	5114.43	2.71017	0.0295376
ENST00000467278.5	2725	2520.43	76.3664	1.6889
ENST00000353662.4	2280	2075.43	26.1903	0.703412
ENST00000470659.1	421	217.326	2.06468	0.529563
ENST00000613751.1	61	31.2593	0	0
ENST00000379037.6	492	287.837	0	0
ENST00000476572.1	819	614.429	1.43663	0.130332
ENST00000493992.1	326	127.752	1.0695	0.466649
ENST00000472541.5	1946	1741.43	13.4361	0.430074
ENST00000354980.7	582	377.55	0	0
ENST00000478065.5	2393	2188.43	0	0
ENST00000479108.5	485	280.837	0	0
ENST00000438966.1	265	79.4574	0	0
ENST00000379031.9	1287	1082.43	171.758	8.8449
ENST00000470520.5	769	564.429	15.1871	1.49983
ENST00000463758.1	940	735.429	19.7175	1.49447
ENST00000467712.1	877	672.429	9.6792	0.80236
ENST00000493657.1	1783	1578.43	5.65848	0.199826
ENST00000470030.6	2369	2164.43	98.349	2.53281
ENST00000540437.5	2629	2424.43	0	0
ENST00000545578.5	2263	2058.43	0	0
ENST00000618806.4	1523	1318.43	0	0
ENST00000620829.4	1862	1657.43	0	0
ENST00000435064.5	2148	1943.43	1051.33	30.1543
ENST00000497304.6	932	727.429	31.8679	2.44197
ENST00000323275.10	2450	2245.43	9.13536	0.226779
ENST00000411962.5	1832	1627.43	86.2722	2.95492
ENST00000462432.5	2863	2658.43	70.1515	1.47092
ENST00000478641.5	3079	2874.43	181.644	3.52245
ENST00000421495.6	1868	1663.43	315.59	10.5754
ENST00000458452.7	2571	2366.43	0	0
ENST00000419704.5	1798	1593.43	0	0
ENST00000532772.5	1618	1413.43	0	0
ENST00000450926.6	1839	1634.43	0	0
ENST00000527098.5	2004	1799.43	0	0
ENST00000485710.5	883	678.429	7.31118	0.600703
ENST00000461514.6	913	708.429	21.9212	1.72482
ENST00000525164.5	816	611.429	25.8985	2.36105
ENST00000528879.5	1524	1319.43	66.7443	2.81971
ENST00000525769.5	695	490.429	50.7383	5.76682
ENST00000620702.1	65	31.9667	0	0
ENST00000531377.5	816	611.429	4.95321	0.451562
ENST00000527383.5	668	463.429	41.223	4.9583
ENST00000531292.5	704	499.429	13.4749	1.50393
ENST00000467408.6	639	434.473	0	0
ENST00000434694.6	1056	851.429	0	0
ENST00000531020.1	548	343.586	3.86316	0.626734
ENST00000533916.5	405	201.744	3.34171	0.923304
ENST00000488042.6	1134	929.429	0	0
ENST00000526797.5	659	454.429	0	0
ENST00000526332.5	579	374.55	5.75466	0.856419
ENST00000430786.5	849	644.429	0	0
ENST00000527719.5	750	545.429	0	0
ENST00000530031.5	800	595.429	0	0
ENST00000526113.1	591	386.473	0	0
ENST00000526904.5	551	346.586	21.818	3.50897
ENST00000525603.1	738	533.429	4.4049	0.460294
ENST00000444968.1	386	183.317	4	1.21628
ENST00000429572.5	1104	899.429	18.9613	1.17511
ENST00000498173.2	1589	1384.43	21.8606	0.880171
ENST00000496353.1	2428	2223.43	2.56225	0.0642353
ENST00000493534.6	896	691.429	3.65101	0.294335
ENST00000534345.5	485	280.837	4.11803	0.817355
ENST00000532952.5	773	568.429	0	0
ENST00000490853.5	704	499.429	0	0
ENST00000531019.5	549	344.586	4.74393	0.767392
ENST00000498476.6	554	349.586	2.48376	0.396034
ENST00000470679.3	584	379.55	0	0
ENST00000525285.1	579	374.55	0	0
ENST00000627245.1	138	26.8759	0	0
ENST00000530233.1	595	390.473	0	0
ENST00000464957.1	1101	896.429	40.8593	2.54069
ENST00000343938.8	2190	1985.43	885.062	24.8482
ENST00000488011.1	783	578.429	4.0786	0.393041
ENST00000339381.5	3433	3228.43	5	0.0863287
ENST00000378891.9	2926	2721.43	1437.05	29.4341
ENST00000378888.9	3239	3034.43	4620.47	84.8761
ENST00000610709.2	2268	2063.43	0	0
ENST00000632445.1	785	580.429	21.3564	2.05095
ENST00000631679.1	778	573.429	6.03728	0.586864
ENST00000634054.1	828	623.429	134.896	12.0612
ENST00000633096.1	580	375.55	27.9922	4.15476
ENST00000616525.1	59	30.4231	0	0
ENST00000472445.1	639	434.473	156.203	20.0402
ENST00000474033.5	1171	966.429	3.52889	0.203538
ENST00000342753.8	2231	2026.43	0.0460634	0.00126707
ENST00000309212.10	2273	2068.43	37.1209	1.00035
ENST00000445648.5	2001	1796.43	7.29548	0.226371
ENST00000477278.3	2728	2523.43	0	0
ENST00000473097.5	975	770.429	2.33445	0.1689
ENST00000478517.5	846	641.429	0	0
ENST00000476718.1	1001	796.429	4.67426	0.327146
ENST00000464351.1	405	201.744	0	0
ENST00000460473.1	339	139.342	0	0
ENST00000338370.7	1072	867.429	184.581	11.8612
ENST00000338338.9	1047	842.429	491.968	32.5522
ENST00000321751.9	798	593.429	80.5331	7.56453
ENST00000378853.3	875	670.429	946.097	78.6609
ENST00000489799.1	695	490.429	44.2657	5.03116
ENST00000496905.1	608	403.473	2.55525	0.353017
ENST00000480479.5	2792	2587.43	228.174	4.91557
ENST00000482621.5	2059	1854.43	131.554	3.95431
ENST00000463260.5	1941	1736.43	133.483	4.28496
ENST00000400809.7	2305	2100.43	250.724	6.65372
ENST00000496007.5	4452	4247.43	114.201	1.49871
ENST00000482365.5	2620	2415.43	61.7394	1.42477
ENST00000408952.8	1857	1652.43	26.6478	0.898906
ENST00000481223.6	2815	2610.43	678.49	14.488
ENST00000418865.6	3082	2877.43	990.75	19.1927
ENST00000505849.5	1503	1298.43	88.1628	3.7848
ENST00000488340.5	1598	1393.43	214.444	8.57838
ENST00000492998.5	745	540.429	16.7387	1.72647
ENST00000469113.5	707	502.429	6.20326	0.688211
ENST00000480646.1	614	409.473	23.7965	3.23939
ENST00000471930.5	846	641.429	27.0586	2.35144
ENST00000408918.8	1186	981.429	218.107	12.3876
ENST00000473872.5	557	352.586	6.55365	1.03608
ENST00000425598.2	661	456.429	20.5119	2.50501
ENST00000463895.1	385	182.372	4.14764	1.26771
ENST00000497013.1	548	343.586	2.42453	0.39334
ENST00000448629.5	797	592.429	9.88331	0.929913
ENST00000444362.2	1747	1542.43	104.82	3.78806
ENST00000418833.2	2196	1991.43	28.578	0.799915
ENST00000576232.1	585	380.55	3.71837	0.544651
ENST00000570344.1	515	310.808	0	0
ENST00000447725.2	1843	1638.43	0	0
ENST00000572242.1	2228	2023.43	0	0
ENST00000453521.1	858	653.429	0	0
ENST00000344843.11	721	516.429	1085.95	117.213
ENST00000493287.5	504	299.808	8.05307	1.49725
ENST00000487659.1	1693	1488.43	38.4394	1.43954
ENST00000492508.1	588	383.473	77.8838	11.3211
ENST00000482352.1	1049	844.429	31.7543	2.09612
ENST00000582431.2	293	99.9723	0	0
ENST00000477686.1	314	117.178	10.0366	4.77437
ENST00000607307.1	1523	1318.43	22.0179	0.930885
ENST00000520296.5	1632	1427.43	0	0
ENST00000427211.3	1976	1771.43	0	0
ENST00000537107.5	2190	1985.43	7.42292	0.2084
ENST00000454272.2	1506	1301.43	2.13435	0.0914158
ENST00000442470.1	876	671.429	0	0
ENST00000428932.1	543	338.586	0	0
ENST00000378821.3	492	287.837	0	0
ENST00000430109.1	510	305.808	0	0
ENST00000434150.1	444	240.074	1.44863	0.336347
ENST00000454562.1	424	220.282	0.366385	0.0927121
ENST00000417917.1	634	429.473	3.18499	0.413378
ENST00000495558.1	819	614.429	38.4678	3.48981
ENST00000338660.5	2147	1942.43	537.072	15.4122
ENST00000476993.1	4511	4306.43	272.859	3.53181
ENST00000471398.1	458	254.024	2.60149	0.570852
ENST00000378785.6	3859	3654.43	32.9428	0.502479
ENST00000475091.2	525	320.619	0	0
ENST00000484537.2	506	301.808	14.5851	2.69373
ENST00000308647.7	2448	2243.43	456.529	11.3431
ENST00000472194.6	4314	4109.43	319.577	4.33481
ENST00000378736.3	414	210.497	48.3383	12.8004
ENST00000485748.5	3233	3028.43	71.3618	1.31348
ENST00000474481.1	3367	3162.43	97.2204	1.71361
ENST00000378756.7	2492	2287.43	1383.21	33.7067
ENST00000378755.9	2612	2407.43	0	0
ENST00000339113.8	2330	2125.43	265.133	6.95334
ENST00000536055.5	2332	2127.43	79.7707	2.09009
ENST00000439513.1	403	199.764	1.39233	0.388507
ENST00000429957.1	498	293.808	115.632	21.9376
ENST00000400830.3	603	398.473	5.39588	0.754812
ENST00000378733.8	718	513.429	0.207352	0.0225115
ENST00000425828.1	717	512.429	2.49999	0.271944
ENST00000624426.1	796	591.429	1.29266	0.121831
ENST00000291386.3	1290	1085.43	1720.6	88.3597
ENST00000378726.1	2238	2033.43	6.68735	0.183316
ENST00000378725.3	619	414.473	0	0
ENST00000359060.5	4176	3971.43	933.121	13.0969
ENST00000366221.3	2101	1896.43	12.0243	0.353427
ENST00000624594.1	276	87.2659	0	0
ENST00000629197.1	286	94.5172	3.15966	1.8634
ENST00000422725.3	2085	1880.43	1	0.0296428
ENST00000607222.1	2038	1833.43	151	4.59081
ENST00000520777.5	3321	3116.43	22.3226	0.399267
ENST00000355826.9	3290	3085.43	49.7767	0.899263
ENST00000518681.5	3116	2911.43	0	0
ENST00000505820.6	3305	3100.43	200.417	3.60321
ENST00000479659.5	4247	4042.43	65.4684	0.902746
ENST00000489635.5	3034	2829.43	118.658	2.33763
ENST00000511502.5	3326	3121.43	81.6949	1.45887
ENST00000477990.1	2821	2616.43	3.45857	0.0736825
ENST00000514363.1	592	387.473	0	0
ENST00000487053.5	3252	3047.43	155.879	2.85122
ENST00000502470.5	780	575.429	32.7361	3.17111
ENST00000378712.5	2890	2685.43	0	0
ENST00000507082.1	1578	1373.43	8.14392	0.330525
ENST00000463492.1	486	281.837	1.4247	0.281775
ENST00000510793.5	889	684.429	6.44118	0.524582
ENST00000504599.5	3311	3106.43	23.0779	0.414105
ENST00000507229.5	2582	2377.43	14.9386	0.350251
ENST00000503789.5	576	371.55	0	0
ENST00000378708.5	3012	2807.43	0	0
ENST00000506488.5	2997	2792.43	5.66526	0.113087
ENST00000512004.1	598	393.473	0	0
ENST00000508455.1	555	350.586	1.2012	0.190984
ENST00000514234.5	2562	2357.43	29.3608	0.694233
ENST00000467597.1	776	571.429	0	0
ENST00000508148.1	577	372.55	8.40466	1.25751
ENST00000486072.1	568	363.586	0	0
ENST00000505370.1	809	604.429	16.5403	1.52537
ENST00000473511.5	1332	1127.43	1.0422e-005	5.15276e-007
ENST00000464570.1	968	763.429	9.19689	0.671504
ENST00000483015.1	1058	853.429	18.1928	1.18825
ENST00000511910.1	584	379.55	0	0
ENST00000470373.1	546	341.586	0	0
ENST00000356026.9	1326	1121.43	0	0
ENST00000472264.1	556	351.586	0	0
ENST00000512731.5	1531	1326.43	1	0.0420235
ENST00000378675.7	1309	1104.43	0	0
ENST00000618459.4	1308	1103.43	0	0
ENST00000412810.6	1239	1034.43	0	0
ENST00000479814.5	903	698.429	0	0
ENST00000435358.5	750	545.429	0	0
ENST00000503792.1	799	594.429	0	0
ENST00000489782.1	626	421.473	0	0
ENST00000486400.1	485	280.837	0	0
ENST00000490017.1	530	325.619	0	0
ENST00000341832.10	2998	2793.43	697.738	13.9229
ENST00000407249.7	2677	2472.43	98.2015	2.21396
ENST00000340677.9	2534	2329.43	247.171	5.91458
ENST00000611150.3	2350	2145.43	49.536	1.28701
ENST00000615951.4	2227	2022.43	61.9933	1.70863
ENST00000626918.2	2457	2252.43	0	0
ENST00000629289.2	2490	2285.43	29.5068	0.719665
ENST00000629312.2	2496	2291.43	0	0
ENST00000317673.8	2369	2164.43	0	0
ENST00000341028.8	881	676.429	11.7371	0.967197
ENST00000607013.1	400	196.804	5.97583	1.69255
ENST00000614300.4	2156	1951.43	5.63915	0.161078
ENST00000617444.4	6283	6078.43	20.1217	0.184523
ENST00000611123.1	5948	5743.43	577.66	5.60632
ENST00000480991.1	2860	2655.43	20.487	0.430052
ENST00000481276.1	2199	1994.43	2.5783	0.0720595
ENST00000596308.1	1422	1217.43	8.42016	0.385525
ENST00000356200.7	2653	2448.43	28.0824	0.639326
ENST00000598846.1	5079	4874.43	46.5264	0.532049
ENST00000463652.5	1028	823.429	7.41971	0.50227
ENST00000356937.7	2275	2070.43	20.4365	0.550203
ENST00000378638.6	2429	2224.43	0	0
ENST00000509982.5	2306	2101.43	40.102	1.06372
ENST00000357760.6	2446	2241.43	0.0028789	7.15942e-005
ENST00000358779.9	2419	2214.43	281.846	7.09457
ENST00000378633.5	2458	2253.43	70.5302	1.74465
ENST00000404249.7	2449	2244.43	72.7147	1.8059
ENST00000460465.5	2333	2128.43	0.0277293	0.000726199
ENST00000478901.1	931	726.429	45.8	3.51438
ENST00000468397.1	836	631.429	34.5179	3.04716
ENST00000491311.1	626	421.473	0	0
ENST00000495016.5	286	94.5172	0	0
ENST00000468800.5	897	692.429	31.7217	2.55363
ENST00000464748.1	381	178.427	1.84715	0.577058
ENST00000489300.1	577	372.55	1.17466	0.175754
ENST00000492390.5	976	771.429	30.6694	2.21608
ENST00000474916.1	752	547.429	16.3382	1.66362
ENST00000479362.1	700	495.429	7.60272	0.85539
ENST00000498810.1	574	369.55	1.03279	0.155781
ENST00000487462.1	437	233.169	1.26288	0.301903
ENST00000401096.2	450	246.074	3.73712	0.846539
ENST00000355439.6	2078	1873.43	10.4708	0.311543
ENST00000475229.2	1259	1054.43	3.24424	0.171503
ENST00000246421.4	1430	1225.43	6.14015	0.279298
ENST00000341426.9	3235	3030.43	1767.82	32.517
ENST00000341991.7	3098	2893.43	276.725	5.33103
ENST00000378625.5	3653	3448.43	17.4474	0.282024
ENST00000342348.9	1722	1517.43	116.427	4.27682
ENST00000498806.1	269	82.2957	3.59775	2.43686
ENST00000469045.5	890	685.429	23.7159	1.92865
ENST00000480499.5	549	344.586	4.32277	0.699263
ENST00000497747.5	467	262.947	21.0233	4.45666
ENST00000477235.5	1004	799.429	36.8027	2.56611
ENST00000489538.1	475	270.893	11.4659	2.35933
ENST00000497615.1	534	329.586	5.07471	0.85826
ENST00000497186.5	683	478.429	12.5364	1.4606
ENST00000492845.6	937	732.429	27.3159	2.07887
ENST00000492768.5	859	654.429	67.2475	5.72783
ENST00000460602.5	974	769.429	25.0108	1.81191
ENST00000464373.1	722	517.429	3.49649	0.376667
ENST00000480542.1	341	141.141	0	0
ENST00000610897.4	3145	2940.43	2830	53.6478
ENST00000615252.4	3048	2843.43	466.476	9.14456
ENST00000378609.8	3132	2927.43	9342.79	177.896
ENST00000461893.5	2438	2233.43	48.1951	1.20284
ENST00000471354.1	1512	1307.43	3.97433	0.169442
ENST00000439272.6	602	397.473	187.441	26.2865
ENST00000434686.6	684	479.429	81.6435	9.49234
ENST00000437146.1	423	219.326	303.231	77.0656
ENST00000607589.1	567	362.586	0.000432586	6.65025e-005
ENST00000472614.2	708	503.429	15.3135	1.69556
ENST00000412228.1	906	701.429	3	0.238404
ENST00000307786.7	1101	896.429	0	0
ENST00000378604.3	769	564.429	0	0
ENST00000482402.1	1882	1677.43	0	0
ENST00000462293.1	570	365.55	0	0
ENST00000378602.3	1118	913.429	0.0723549	0.0044154
ENST00000310991.7	929	724.429	21.8934	1.68459
ENST00000378598.4	483	278.865	0	0
ENST00000470931.2	690	485.429	0	0
ENST00000602604.1	878	673.429	11.0342	0.913328
